t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,5.206199999999999761e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,5.180400000000000205e+01,3.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,5.199699999999999989e+01,3.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,5.160999999999999943e+01,3.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,5.193299999999999983e+01,3.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,5.228699999999999903e+01,3.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,5.186800000000000210e+01,3.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,5.212599999999999767e+01,3.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,5.206199999999999761e+01,3.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,5.212599999999999767e+01,3.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,5.186800000000000210e+01,3.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,5.173899999999999721e+01,3.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,5.189999999999999858e+01,3.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,5.196500000000000341e+01,3.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,5.209400000000000119e+01,3.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,5.215800000000000125e+01,3.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,5.222299999999999898e+01,3.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,5.218999999999999773e+01,3.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,5.202900000000000347e+01,3.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,5.180400000000000205e+01,3.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,5.180400000000000205e+01,3.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,5.167499999999999716e+01,3.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,5.138499999999999801e+01,3.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,5.144899999999999807e+01,3.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,5.138499999999999801e+01,3.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,5.132000000000000028e+01,3.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,5.173899999999999721e+01,3.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,5.183599999999999852e+01,3.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,5.151400000000000290e+01,3.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,5.144899999999999807e+01,3.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,5.157800000000000296e+01,3.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,5.167499999999999716e+01,3.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,5.132000000000000028e+01,3.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,5.164300000000000068e+01,3.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,5.160999999999999943e+01,3.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,5.157800000000000296e+01,3.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,5.135300000000000153e+01,3.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,5.177100000000000080e+01,3.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,5.157800000000000296e+01,3.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,5.151400000000000290e+01,3.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,5.144899999999999807e+01,3.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,5.170700000000000074e+01,3.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,5.180400000000000205e+01,3.000000000000000000e+01
