t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.548700000000000188e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.545499999999999829e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.542300000000000182e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.548700000000000188e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.548700000000000188e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.555199999999999960e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.200000000000000000e+01,3.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
1.300000000000000000e+01,3.000000000000000000e+01,4.581000000000000227e+01,5.000000000000000000e+01
1.400000000000000000e+01,3.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.500000000000000000e+01,3.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
1.600000000000000000e+01,3.000000000000000000e+01,4.613199999999999790e+01,5.000000000000000000e+01
1.700000000000000000e+01,3.000000000000000000e+01,4.610000000000000142e+01,5.000000000000000000e+01
1.800000000000000000e+01,3.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
1.900000000000000000e+01,3.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
2.000000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.100000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.200000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.300000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.400000000000000000e+01,3.000000000000000000e+01,4.632500000000000284e+01,5.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.600000000000000000e+01,3.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
2.700000000000000000e+01,3.000000000000000000e+01,4.639000000000000057e+01,5.000000000000000000e+01
2.800000000000000000e+01,3.000000000000000000e+01,4.642199999999999704e+01,5.000000000000000000e+01
2.900000000000000000e+01,3.000000000000000000e+01,4.651899999999999835e+01,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+01,4.658299999999999841e+01,5.000000000000000000e+01
3.100000000000000000e+01,3.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
3.200000000000000000e+01,3.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
3.300000000000000000e+01,3.000000000000000000e+01,4.674399999999999977e+01,5.000000000000000000e+01
3.400000000000000000e+01,3.000000000000000000e+01,4.671200000000000330e+01,5.000000000000000000e+01
3.500000000000000000e+01,3.000000000000000000e+01,4.671200000000000330e+01,5.000000000000000000e+01
3.600000000000000000e+01,3.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
3.700000000000000000e+01,3.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
3.800000000000000000e+01,3.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
