t,MV,MVP,MVI,MVD,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,9.551249640821799858e+01,-1.417425793695047389e+02,1.012300829612867403e+02,5.000000000000000000e+01,2.089799999999999969e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,9.519414330012931202e+01,-1.364176759349702763e+02,9.622353263484096431e+01,5.000000000000000000e+01,2.099500000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,9.519414330012931202e+01,-1.319794583319897754e+02,9.178531503186046336e+01,5.000000000000000000e+01,2.099500000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,9.487579019204062547e+01,-1.270901857055604438e+02,8.721439551351981834e+01,5.000000000000000000e+01,2.109199999999999875e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,9.456071907475696037e+01,-1.224185027804776098e+02,8.285778370572064944e+01,5.000000000000000000e+01,2.118799999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,9.519414330012931202e+01,-1.199015340588500180e+02,7.970739075872070600e+01,5.000000000000000000e+01,2.099500000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,9.424236596666827381e+01,-1.142645774285836637e+02,7.502221146191538992e+01,5.000000000000000000e+01,2.128500000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,9.402903656434078528e+01,-1.103648211405260753e+02,7.133578457618529001e+01,5.000000000000000000e+01,2.135000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,9.402903656434078528e+01,-1.070745269041885734e+02,6.804549033984778816e+01,5.000000000000000000e+01,2.135000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,9.424236596666827381e+01,-1.043754234833204464e+02,6.513305751665217258e+01,5.000000000000000000e+01,2.128500000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000711e+01,9.434738967242948604e+01,-1.015875584078294764e+02,6.224016873539999750e+01,5.000000000000000000e+01,2.125300000000000011e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000711e+01,9.381898915281834661e+01,-9.762835842847897538e+01,5.880936927566063588e+01,5.000000000000000000e+01,2.141400000000000148e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000711e+01,9.329058863320723560e+01,-9.382740076405468699e+01,5.553681213084745849e+01,5.000000000000000000e+01,2.157499999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,9.402903656434078528e+01,-9.278691985592894298e+01,5.375788329158815770e+01,5.000000000000000000e+01,2.135000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000711e+01,9.350063604472966006e+01,-8.921895710867110552e+01,5.071832106394145256e+01,5.000000000000000000e+01,2.151099999999999923e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.500000000000000000e+01,9.371396544705713438e+01,-8.731905265280028061e+01,4.860508720574314623e+01,5.000000000000000000e+01,2.144600000000000151e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
