t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.499999999999998579e+01,1.026838418162035396e+02,-1.565145625777180385e+02,1.088307207615144847e+02,0.000000000000000000e+00,5.000000000000000000e+01,2.831099999999999994e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,1.026838418162035396e+02,-1.514948505862470540e+02,1.038110087700435145e+02,0.000000000000000000e+00,5.000000000000000000e+01,2.831099999999999994e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,1.025323418421098154e+02,-1.463945988998066525e+02,9.886225705769683714e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.834299999999999997e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,1.023808418680161054e+02,-1.415226036113709824e+02,9.414176174335487701e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.837500000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,1.023808418680161054e+02,-1.371804056821955271e+02,8.979956381417942168e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.837500000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,1.025323418421098154e+02,-1.333505565103839103e+02,8.581821466827409495e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.834299999999999997e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,1.026838418162035396e+02,-1.297043432265834610e+02,8.202050141037992148e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.831099999999999994e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,1.025323418421098154e+02,-1.256091576678703063e+02,7.807681582576049095e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.834299999999999997e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,1.022293418939223955e+02,-1.213838017343593236e+02,7.415445984043692818e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.840700000000000003e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,1.022293418939223955e+02,-1.179634988210138715e+02,7.073415692709147606e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.840700000000000003e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,1.022293418939223955e+02,-1.147009540795196045e+02,6.747161218559720908e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.840700000000000003e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.500000000000000000e+01,1.022293418939223955e+02,-1.115888910664104401e+02,6.435954917248804463e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.840700000000000003e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.500000000000000000e+01,1.026838418162035396e+02,-1.095565761593059761e+02,6.187273434310243658e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.831099999999999994e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,1.026838418162035396e+02,-1.067027559846903557e+02,5.901891416848681615e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.831099999999999994e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.500000000000000711e+01,1.022293418939223955e+02,-1.030443583100128251e+02,5.581501641609043673e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.840700000000000003e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.499999999999999289e+01,1.025323418421098154e+02,-1.010940826648518680e+02,5.356174082274204551e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.834299999999999997e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.600000000000000000e+01,5.499999999999999289e+01,1.020778419198286855e+02,-9.768739184547672494e+01,5.060954992564803234e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.843900000000000006e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,1.020778419198286855e+02,-9.535307518500522406e+01,4.827523326517653857e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.843900000000000006e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.800000000000000000e+01,5.500000000000000711e+01,1.014671076492633972e+02,-9.186839820037738491e+01,4.540129055111399481e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.856800000000000139e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.900000000000000000e+01,5.500000000000000000e+01,1.019216075715445413e+02,-9.071051468059837930e+01,4.378890710905383798e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.847200000000000131e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+01,5.500000000000000000e+01,1.019216075715445413e+02,-8.869079358924955159e+01,4.176918601770501027e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.847200000000000131e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.100000000000000000e+01,5.499999999999999289e+01,1.013108733009792815e+02,-8.550620175665136458e+01,3.919532845567207602e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.860099999999999909e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.200000000000000000e+01,5.500000000000000000e+01,1.017701075974508313e+02,-8.464431440915284099e+01,3.787420681170200965e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.850400000000000134e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.300000000000000000e+01,5.500000000000000000e+01,1.011593733268855573e+02,-8.163937473442049964e+01,3.548000140753494236e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.863299999999999912e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.400000000000000000e+01,5.499999999999999289e+01,1.013108733009792815e+02,-8.031496296921764610e+01,3.400408966823835755e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.860099999999999909e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.500000000000000000e+01,5.500000000000000000e+01,1.010078733527918473e+02,-7.812241900682761298e+01,3.211454565403576566e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.866499999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.600000000000000000e+01,5.500000000000000711e+01,1.010078733527918473e+02,-7.664116657376266062e+01,3.063329322097082041e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.866499999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.700000000000000000e+01,5.500000000000000000e+01,1.003971390822265732e+02,-7.397020705211822644e+01,2.857306796989164965e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.879400000000000048e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.800000000000000000e+01,5.500000000000000000e+01,1.002456391081328633e+02,-7.234023279291014319e+01,2.709459368477727992e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.882600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.900000000000000000e+01,5.500000000000000000e+01,1.002456391081328633e+02,-7.109052080100347837e+01,2.584488169287061865e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.882600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+01,5.500000000000000000e+01,1.002456391081328633e+02,-6.989845056895804021e+01,2.465281146082517694e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.882600000000000051e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.100000000000000000e+01,5.500000000000000000e+01,9.993790478575502334e+01,-6.812747313309169783e+01,2.318956834733667094e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.889099999999999824e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.200000000000000000e+01,5.499999999999999289e+01,9.902417056700231512e+01,-6.517571010451212032e+01,2.115153953750979809e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.908399999999999963e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.300000000000000000e+01,5.500000000000000000e+01,9.932717051518973506e+01,-6.482425388585097892e+01,2.049708337066124031e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.901999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.400000000000000000e+01,5.500000000000000000e+01,9.856493627053073681e+01,-6.230874819640144580e+01,1.874381192587070899e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.918100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.500000000000000000e+01,5.500000000000000000e+01,9.856493627053073681e+01,-6.144420795600048280e+01,1.787927168546974599e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.918100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.600000000000000000e+01,5.500000000000000000e+01,9.856493627053073681e+01,-6.061954380004960541e+01,1.705460752951886860e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.918100000000000094e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.700000000000000000e+01,5.500000000000000000e+01,9.795420199996547694e+01,-5.857488805473651894e+01,1.562068605477104022e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.930999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.800000000000000000e+01,5.500000000000000000e+01,9.795420199996547694e+01,-5.785439898183987140e+01,1.490019698187439268e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.930999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.900000000000000000e+01,5.500000000000000000e+01,9.734820210359062287e+01,-5.591886550274257672e+01,1.357066339915195208e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.943799999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+01,5.500000000000000000e+01,9.673746783302534880e+01,-5.403490331901249988e+01,1.229743548598715108e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.956700000000000017e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.100000000000000000e+01,5.500000000000000000e+01,9.673746783302534880e+01,-5.346769597221360470e+01,1.173022813918825413e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.956700000000000017e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.200000000000000000e+01,5.500000000000000000e+01,9.612673356246006051e+01,-5.166862208913357080e+01,1.054188852667350851e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.969600000000000151e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.300000000000000000e+01,5.500000000000000000e+01,9.597049921417593055e+01,-5.086056642628091140e+01,9.890067212104980854e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.972899999999999920e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.400000000000000000e+01,5.500000000000000000e+01,9.581899924008222058e+01,-5.009232755101864143e+01,9.273328310936419072e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.976099999999999923e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.500000000000000000e+01,5.500000000000000000e+01,9.520826496951694651e+01,-4.840657580201457222e+01,8.198310832497623935e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.989000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
