t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,8.176095493510847234e+01,-1.134162991290324243e+02,8.665534419392395193e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.508800000000000097e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,8.176095493510847234e+01,-1.094194049861691695e+02,8.265845005106069721e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.508800000000000097e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,8.144260182701978579e+01,-1.049511002010633547e+02,7.850849837404356890e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.518499999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,8.144260182701978579e+01,-1.013299714612826818e+02,7.488736963426289606e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.518499999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,8.112753070973613490e+01,-9.722686071133848884e+01,7.109933000160235395e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.528099999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,8.133757812125857356e+01,-9.438014143377759524e+01,6.804256331251902168e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.521699999999999875e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,8.155090752358603368e+01,-9.168117301922086426e+01,6.513026549563483059e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.515200000000000102e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,8.133757812125857356e+01,-8.823767319476546334e+01,6.190009507350688978e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.521699999999999875e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000711e+01,8.112753070973613490e+01,-8.494992231319497478e+01,5.882239160345884699e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.528099999999999881e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,8.123255441549734712e+01,-8.245313061420071676e+01,5.622057619870336964e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.524899999999999878e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
