t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,7.837722241511421828e+01,-1.064462764732026159e+02,8.306905405808839760e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.611899999999999977e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,7.816389301278674395e+01,-1.021753673342693816e+02,7.901147432148263761e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.618400000000000105e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,7.763549249317561873e+01,-9.744260706629813740e+01,7.480711457312251866e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.634499999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,7.795384560126430529e+01,-9.464796461135151162e+01,7.169411901008720633e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.624800000000000111e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,7.774051619893684517e+01,-9.090171337657552897e+01,6.816119717763868380e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.631299999999999883e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,7.816389301278674395e+01,-8.862994180911577757e+01,6.546604879632903362e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.618400000000000105e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,7.816389301278674395e+01,-8.561038347229948897e+01,6.244649045951274502e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.618400000000000105e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000711e+01,7.784882189550309306e+01,-8.208109627089893934e+01,5.923227437539585338e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.628000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,7.763549249317561873e+01,-7.890963559627816437e+01,5.627414310310254564e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.634499999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,7.795384560126430529e+01,-7.696980856913258151e+01,5.401596296786827622e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.624800000000000111e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+01,5.500000000000000000e+01,7.827219870935300605e+01,-7.513413792195419205e+01,5.186193921260118600e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.615099999999999980e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.100000000000000000e+01,5.499999999999999289e+01,7.753046878741440651e+01,-7.121419459765874649e+01,4.868372581024433288e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.637699999999999889e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.200000000000000000e+01,5.499999999999999289e+01,7.763549249317561873e+01,-6.918503907624011617e+01,4.654954658306449033e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.634499999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.300000000000000000e+01,5.500000000000000000e+01,7.732042137589196784e+01,-6.638898307321794334e+01,4.406856169732597550e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.644099999999999895e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.400000000000000000e+01,5.499999999999999289e+01,7.721211567932570574e+01,-6.413326837522899382e+01,4.192115269590328097e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.647400000000000020e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.500000000000000000e+01,5.500000000000000000e+01,7.721211567932570574e+01,-6.219969565411248880e+01,3.998757997478678305e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.647400000000000020e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.600000000000000000e+01,5.500000000000000000e+01,7.700206826780326708e+01,-5.992263838951593158e+01,3.792057012171266450e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.653800000000000026e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.700000000000000000e+01,5.500000000000000000e+01,7.710709197356449351e+01,-5.838992303956493402e+01,3.628283106600044050e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.650600000000000023e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.800000000000000000e+01,5.500000000000000000e+01,7.700206826780326708e+01,-5.650007810374766848e+01,3.449800983594440140e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.653800000000000026e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.900000000000000000e+01,5.500000000000000000e+01,7.700206826780326708e+01,-5.490889068494109182e+01,3.290682241713782474e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.653800000000000026e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+01,5.500000000000000000e+01,7.710709197356449351e+01,-5.360742961042593890e+01,3.150033763686144539e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.650600000000000023e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.100000000000000000e+01,5.500000000000000000e+01,7.668371515971456631e+01,-5.128240904147212120e+01,2.959869388175755134e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.663500000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.200000000000000000e+01,5.500000000000000000e+01,7.657869145395335408e+01,-4.970086348419069111e+01,2.812217203023734058e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.666700000000000159e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.300000000000000000e+01,5.500000000000000000e+01,7.626033834586466753e+01,-4.774799190430287865e+01,2.648765355843820757e+01,0.000000000000000000e+00,5.000000000000000000e+01,2.676399999999999935e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
