t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man,MVMan
0.000000000000000000e+00,5.500000000000000000e+01,5.849164012738854979e+01,-3.491640127388549786e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.217799999999999727e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
1.000000000000000000e+00,5.500000000000000000e+01,5.838661642162731624e+01,-3.386616421627316242e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.221000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
2.000000000000000000e+00,5.500000000000000000e+01,5.859666383314975491e+01,-3.596663833149754907e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.214600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
3.000000000000000000e+00,5.500000000000000000e+01,5.859666383314975491e+01,-3.596663833149754907e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.214600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
4.000000000000000000e+00,5.500000000000000000e+01,5.859666383314975491e+01,-3.596663833149754907e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.214600000000000080e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
5.000000000000000000e+00,5.500000000000000000e+01,5.902004064699966079e+01,-4.020040646999660794e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.201700000000000301e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
6.000000000000000000e+00,5.500000000000000000e+01,5.902004064699966079e+01,-4.020040646999660794e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.201700000000000301e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
7.000000000000000000e+00,5.500000000000000000e+01,5.880999323547722213e+01,-3.809993235477222129e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.208100000000000307e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,5.500000000000000000e+01,5.902004064699966079e+01,-4.020040646999660794e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.201700000000000301e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
9.000000000000000000e+00,5.500000000000000000e+01,5.923337004932713512e+01,-4.233370049327135121e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,3.195200000000000173e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01
